f1_mean,f1_std,f1_min,f1_max,f1_range,f2_mean,f2_std,f2_min,f2_max,f2_range,f3_mean,f3_std,f3_min,f3_max,f3_range,f4_mean,f4_std,f4_min,f4_max,f4_range,f5_mean,f5_std,f5_min,f5_max,f5_range,pitch3_mean,pitch3_std,pitch3_min,pitch3_max,pitch3_range,actividad
47.726136363636364,33.51059871117502,23.0,107.0,84.0,36.78181818181818,8.540286154649959,21.0,46.0,25.0,35.070454545454545,7.13550914108302,23.0,42.0,19.0,30.14318181818182,5.169178663758029,23.0,40.0,17.0,24.825,3.5482149801632015,17.0,32.0,15.0,23.818526164643984,78.47617194681352,-71.8030708857948,144.104615053353,215.9076859391478,000
49.689772727272725,34.367967180648975,23.0,107.0,84.0,36.38977272727273,8.271480847036555,21.0,46.0,25.0,34.94204545454546,6.939351253259608,23.0,42.0,19.0,29.740909090909092,4.894677915943648,23.0,39.0,16.0,24.5125,3.0286252694460685,17.0,30.0,13.0,26.18335086609013,79.43510205175356,-67.8324733655382,144.104615053353,211.93708841889122,000
46.31136363636364,31.75171230822256,23.0,107.0,84.0,36.1625,7.832461770501254,21.0,45.0,24.0,34.93636363636364,6.657568861115585,23.0,42.0,19.0,29.286363636363635,4.56964246209755,23.0,39.0,16.0,24.032954545454544,2.5655152588492687,17.0,31.0,14.0,25.04509858633836,78.04394239897928,-59.9313853706841,144.104615053353,204.0360004240371,000
24.092045454545456,1.7081170914003188,23.0,30.0,7.0,42.87159090909091,10.880157594777298,24.0,58.0,34.0,36.65,8.600092494217193,23.0,48.0,25.0,49.29204545454545,9.91784115061554,29.0,72.0,43.0,26.898863636363636,4.423850500879548,21.0,42.0,21.0,13.319855874955929,94.91603120897733,-168.804825601443,174.734938781047,343.53976438249003,000
23.946590909090908,1.5877692229577638,23.0,30.0,7.0,42.40113636363636,10.52612544531443,24.0,58.0,34.0,36.54090909090909,8.441006999970663,23.0,48.0,25.0,49.03181818181818,9.733792420019705,29.0,72.0,43.0,26.51590909090909,4.390301458991904,21.0,42.0,21.0,16.023363742164754,95.22978980887903,-168.804825601443,179.668105397124,348.472930998567,000
23.819318181818183,1.48104370098079,23.0,30.0,7.0,41.35909090909091,10.403917928572044,24.0,58.0,34.0,35.59431818181818,8.366611918194211,23.0,48.0,25.0,48.00909090909091,9.602315492104879,29.0,72.0,43.0,25.779545454545456,4.219709142575337,20.0,42.0,22.0,14.140207730786592,96.4626955203157,-168.804825601443,179.668105397124,348.472930998567,000
24.188636363636363,1.7801577954944061,23.0,29.0,6.0,32.88977272727273,8.217380966484827,20.0,45.0,25.0,33.20795454545455,7.620616796662213,23.0,43.0,20.0,32.445454545454545,6.547846785063099,23.0,45.0,22.0,21.54090909090909,1.923694147611236,17.0,30.0,13.0,27.447517132205945,68.15547014416455,-65.0650872150563,125.598078270628,190.6631654856843,000
24.025,1.5606853098442477,23.0,29.0,6.0,32.77272727272727,7.968585012876377,20.0,45.0,25.0,33.222727272727276,7.466466355292225,23.0,42.0,19.0,32.29545454545455,6.210802705603671,23.0,42.0,19.0,21.447727272727274,1.8183394818004641,17.0,30.0,13.0,28.671967005704722,67.99656839762079,-63.0425461982445,125.598078270628,188.6406244688725,000
23.95340909090909,1.5222179439910255,23.0,29.0,6.0,32.398863636363636,7.472601383450773,20.0,43.0,23.0,33.10454545454545,7.234103404438985,23.0,42.0,19.0,32.06136363636364,5.881276759540741,23.0,42.0,19.0,21.692045454545454,2.5631887806415303,18.0,39.0,21.0,32.110045831575476,69.5676426201659,-65.0765463709589,129.379599718491,194.45614608944987,000
23.013636363636362,0.1423678160305984,23.0,25.0,2.0,39.222727272727276,9.8360622118158,26.0,56.0,30.0,31.803409090909092,5.222219766267031,23.0,42.0,19.0,48.88068181818182,8.087059780832606,29.0,62.0,33.0,25.625,3.613775726300679,19.0,34.0,15.0,40.221298652213946,119.78368359495639,-179.880099781322,179.570702571951,359.450802353273,000
